Date,Price,Open,High,Low,Change %,Year,Month,Day,Return
1990-01-02,359.7,353.4,359.7,352.0,1.78,1990,1,2,
1990-01-03,358.8,359.7,360.6,357.9,-0.25,1990,1,3,-0.002502085070892335
1990-01-04,355.7,358.8,358.8,352.9,-0.86,1990,1,4,-0.00863991081382387
1990-01-05,352.2,355.7,355.7,351.4,-0.98,1990,1,5,-0.009839752600506069
1990-01-08,353.8,352.2,354.2,350.5,0.45,1990,1,8,0.004542873367404887
1990-01-09,349.6,353.8,354.2,349.6,-1.19,1990,1,9,-0.011871113623516116
1990-01-10,347.3,349.6,349.6,344.3,-0.66,1990,1,10,-0.006578947368421129
1990-01-11,348.5,347.3,350.1,347.3,0.35,1990,1,11,0.0034552260293694292
1990-01-12,339.9,348.5,348.5,339.5,-2.47,1990,1,12,-0.024677187948350165
1990-01-15,337.0,339.9,339.9,336.6,-0.85,1990,1,15,-0.008531921153280275
1990-01-16,340.8,337.0,340.8,333.4,1.13,1990,1,16,0.011275964391691318
1990-01-17,337.4,340.8,342.0,336.3,-1.0,1990,1,17,-0.00997652582159636
1990-01-18,338.2,337.4,338.4,334.0,0.24,1990,1,18,0.002371072910491989
1990-01-19,339.1,338.2,340.5,338.2,0.27,1990,1,19,0.0026611472501478772
1990-01-22,330.4,339.1,340.0,330.3,-2.57,1990,1,22,-0.02565614862872323
1990-01-23,331.6,330.4,332.8,328.7,0.36,1990,1,23,0.003631961259080052
1990-01-24,330.3,331.6,331.7,324.2,-0.39,1990,1,24,-0.003920386007237653
1990-01-25,326.1,330.3,332.3,325.3,-1.27,1990,1,25,-0.012715712988192518
1990-01-26,325.8,326.1,328.6,321.4,-0.09,1990,1,26,-0.0009199632014720294
1990-01-29,325.2,325.8,327.3,321.8,-0.18,1990,1,29,-0.0018416206261511192
1990-01-30,323.0,325.2,325.7,319.8,-0.68,1990,1,30,-0.006765067650676526
1990-01-31,329.1,323.0,329.1,323.0,1.89,1990,1,31,0.018885448916408754
1990-02-01,328.8,329.1,329.9,327.8,-0.09,1990,2,1,-0.0009115770282589475
1990-02-02,330.9,328.8,332.1,328.1,0.64,1990,2,2,0.006386861313868453
1990-02-05,331.9,330.9,332.2,330.4,0.3,1990,2,5,0.003022061045633073
1990-02-06,329.7,331.9,331.9,328.2,-0.66,1990,2,6,-0.006628502561012328
1990-02-07,333.8,329.7,333.8,326.6,1.24,1990,2,7,0.012435547467394725
1990-02-08,333.0,333.8,336.1,332.0,-0.24,1990,2,8,-0.002396644697423622
1990-02-09,333.6,333.0,334.6,332.4,0.18,1990,2,9,0.0018018018018017834
1990-02-12,330.1,333.6,333.6,330.0,-1.05,1990,2,12,-0.010491606714628343
1990-02-13,331.0,330.1,331.6,327.9,0.27,1990,2,13,0.002726446531354121
1990-02-14,332.0,331.0,333.2,330.6,0.3,1990,2,14,0.0030211480362538623
1990-02-15,334.9,332.0,335.2,331.6,0.87,1990,2,15,0.008734939759036164
1990-02-16,332.7,334.9,335.6,332.4,-0.66,1990,2,16,-0.006569125111973717
1990-02-20,328.0,332.7,332.7,326.3,-1.41,1990,2,20,-0.014126840997895962
1990-02-21,327.7,328.0,328.2,324.5,-0.09,1990,2,21,-0.0009146341463415197
1990-02-22,325.7,327.7,331.0,325.7,-0.61,1990,2,22,-0.006103143118706189
1990-02-23,324.1,325.7,326.1,322.1,-0.49,1990,2,23,-0.004912496162112312
1990-02-26,328.7,324.1,328.7,324.0,1.42,1990,2,26,0.014193150262264531
1990-02-27,330.3,328.7,331.9,328.5,0.49,1990,2,27,0.004867660480681435
1990-02-28,331.9,330.3,333.5,330.2,0.48,1990,2,28,0.004844081138358991
1990-03-01,332.7,331.9,334.4,331.1,0.24,1990,3,1,0.002410364567640988
1990-03-02,335.5,332.7,335.5,332.7,0.84,1990,3,2,0.008415990381725358
1990-03-05,333.7,335.5,336.4,333.5,-0.54,1990,3,5,-0.005365126676602161
1990-03-06,337.9,333.7,337.9,333.6,1.26,1990,3,6,0.012586155229247886
1990-03-07,336.9,337.9,338.8,336.3,-0.3,1990,3,7,-0.0029594554601952705
1990-03-08,340.3,336.9,340.7,336.9,1.01,1990,3,8,0.010092015434847168
1990-03-09,337.9,340.3,340.3,336.8,-0.71,1990,3,9,-0.007052600646488494
1990-03-12,338.7,337.9,339.1,336.1,0.24,1990,3,12,0.0023675643681562164
1990-03-13,336.0,338.7,338.7,335.4,-0.8,1990,3,13,-0.00797165633303809
1990-03-14,336.9,336.0,337.6,334.9,0.27,1990,3,14,0.002678571428571308
1990-03-15,338.1,336.9,338.9,336.9,0.36,1990,3,15,0.003561887800534347
1990-03-16,341.9,338.1,341.9,338.1,1.12,1990,3,16,0.011239278320023471
1990-03-19,343.5,341.9,343.8,339.1,0.47,1990,3,19,0.004679730915472469
1990-03-20,341.6,343.5,344.5,340.9,-0.55,1990,3,20,-0.005531295487627319
1990-03-21,339.7,341.6,342.3,339.6,-0.56,1990,3,21,-0.005562060889929832
1990-03-22,335.7,339.7,339.8,333.6,-1.18,1990,3,22,-0.011775095672652336
1990-03-23,337.2,335.6,337.6,335.6,0.45,1990,3,23,0.0044682752457552155
1990-03-26,337.6,337.2,339.7,337.2,0.12,1990,3,26,0.0011862396204034287
1990-03-27,341.5,337.6,341.5,337.0,1.16,1990,3,27,0.011552132701421636
1990-03-28,342.0,341.5,342.6,340.6,0.15,1990,3,28,0.0014641288433381305
1990-03-29,340.8,342.0,342.1,339.8,-0.35,1990,3,29,-0.0035087719298245723
1990-03-30,339.9,340.8,341.4,338.2,-0.26,1990,3,30,-0.002640845070422615
1990-04-02,338.7,339.9,339.9,336.3,-0.35,1990,4,2,-0.003530450132391838
1990-04-03,343.6,338.7,343.8,338.7,1.45,1990,4,3,0.014467080011809852
1990-04-04,341.1,343.6,344.1,340.4,-0.73,1990,4,4,-0.007275902211874241
1990-04-05,340.7,341.1,342.9,340.6,-0.12,1990,4,5,-0.0011726766344181128
1990-04-06,340.1,340.7,341.7,338.9,-0.18,1990,4,6,-0.0017610801291457756
1990-04-09,341.4,340.1,341.8,339.9,0.38,1990,4,9,0.0038224051749484733
1990-04-10,342.1,341.4,342.4,340.6,0.21,1990,4,10,0.00205038078500297
1990-04-11,341.9,342.1,343.0,341.3,-0.06,1990,4,11,-0.0005846243788367733
1990-04-12,344.3,341.9,344.8,341.9,0.7,1990,4,12,0.007019596373208703
1990-04-16,344.7,344.3,347.3,344.1,0.12,1990,4,16,0.0011617775196048896
1990-04-17,344.7,344.7,345.2,342.1,0.0,1990,4,17,0.0
1990-04-18,340.7,344.7,345.3,340.1,-1.16,1990,4,18,-0.011604293588627801
1990-04-19,338.1,340.7,340.7,337.6,-0.76,1990,4,19,-0.007631347226298657
1990-04-20,335.1,338.1,338.5,333.4,-0.89,1990,4,20,-0.008873114463176623
1990-04-23,331.1,335.1,335.1,330.1,-1.19,1990,4,23,-0.01193673530289463
1990-04-24,330.4,331.1,333.0,329.7,-0.21,1990,4,24,-0.0021141649048627142
1990-04-25,332.0,330.4,332.7,330.4,0.48,1990,4,25,0.004842615012106588
1990-04-26,332.9,332.0,333.8,330.7,0.27,1990,4,26,0.002710843373493921
1990-04-27,329.1,332.9,333.6,328.7,-1.14,1990,4,27,-0.011414839291078227
1990-04-30,330.8,329.1,331.3,327.8,0.52,1990,4,30,0.005165603160133703
1990-05-01,332.2,330.8,332.8,330.8,0.42,1990,5,1,0.004232164449818443
1990-05-02,334.5,332.2,334.5,332.1,0.69,1990,5,2,0.006923540036122944
1990-05-03,335.6,334.5,337.0,334.5,0.33,1990,5,3,0.003288490284006018
1990-05-04,338.4,335.6,338.5,335.2,0.83,1990,5,4,0.008343265792610133
1990-05-07,340.5,338.4,341.1,338.1,0.62,1990,5,7,0.006205673758865382
1990-05-08,342.0,340.5,342.0,340.2,0.44,1990,5,8,0.004405286343612369
1990-05-09,342.9,342.0,343.1,340.9,0.26,1990,5,9,0.002631578947368318
1990-05-10,343.8,342.9,345.0,342.8,0.26,1990,5,10,0.002624671916010568
1990-05-11,352.0,343.8,352.3,343.8,2.39,1990,5,11,0.023851076207097144
1990-05-14,354.8,352.0,358.4,351.9,0.8,1990,5,14,0.007954545454545547
1990-05-15,354.3,354.8,355.1,352.8,-0.14,1990,5,15,-0.0014092446448703555
1990-05-16,354.0,354.3,354.7,351.9,-0.08,1990,5,16,-0.0008467400508044287
1990-05-17,354.5,354.0,356.9,354.0,0.14,1990,5,17,0.0014124293785311437
1990-05-18,354.6,354.5,354.6,352.5,0.03,1990,5,18,0.0002820874471085588
1990-05-21,358.0,354.6,359.1,353.8,0.96,1990,5,21,0.00958826847151717
1990-05-22,358.4,358.0,360.5,356.1,0.11,1990,5,22,0.0011173184357540222
1990-05-23,359.3,358.4,359.3,357.0,0.25,1990,5,23,0.0025111607142858094
1990-05-24,358.4,359.3,359.6,357.9,-0.25,1990,5,24,-0.002504870581686691
1990-05-25,354.6,358.4,358.4,354.3,-1.06,1990,5,25,-0.010602678571428492
1990-05-29,360.6,354.6,360.6,354.6,1.69,1990,5,29,0.016920473773265554
1990-05-30,360.9,360.6,362.3,360.0,0.08,1990,5,30,0.0008319467554074311
1990-05-31,361.2,360.9,361.8,360.2,0.08,1990,5,31,0.0008312551953451042
1990-06-01,363.2,361.2,363.5,361.2,0.55,1990,6,1,0.005537098560354448
1990-06-04,367.4,363.2,367.9,362.4,1.16,1990,6,4,0.01156387665198233
1990-06-05,366.6,367.4,368.8,365.5,-0.22,1990,6,5,-0.0021774632553074325
1990-06-06,365.0,366.6,366.6,364.4,-0.44,1990,6,6,-0.00436442989634489
1990-06-07,363.1,365.0,365.9,361.6,-0.52,1990,6,7,-0.00520547945205474
1990-06-08,358.7,363.1,363.5,357.7,-1.21,1990,6,8,-0.012117873863949469
1990-06-11,361.6,358.7,361.6,357.7,0.81,1990,6,11,0.008084750487872938
