Date ,Price ,Open ,High ,Low ,Change % 
05/25/1993,448.9,448.0,449.0,447.7,0.2
08/12/1991,388.0,387.1,388.2,385.9,0.23
07/25/2000,1474.5,1464.3,1476.3,1464.3,0.7
05/02/2006,1313.2,1305.2,1313.7,1305.2,0.61
01/12/1993,431.0,430.9,431.4,428.2,0.02
09/14/2009,1049.3,1040.2,1049.7,1035.0,0.63
09/06/2001,1106.4,1131.7,1131.7,1105.8,-2.24
10/05/1993,461.2,461.3,463.1,459.4,-0.02
02/14/1997,808.5,811.8,812.2,808.1,-0.41
02/26/1992,415.4,410.5,415.4,410.4,1.22
12/12/1990,330.2,326.4,330.4,326.4,1.16
03/31/2005,,1181.4,1184.5,1179.5,-0.07
10/02/2000,1436.2,1436.5,1445.5,1429.8,-0.02
07/27/2005,1236.8,1231.2,1237.6,1230.2,0.45
12/17/2004,1194.2,1203.2,1203.2,1193.4,-0.75
08/04/1992,424.4,425.1,425.1,423.1,-0.16
08/17/1994,465.2,465.1,465.9,464.6,0.04
09/29/1992,416.8,416.6,417.4,415.3,0.05
12/17/1998,1180.0,1161.9,1180.0,1161.9,1.56
06/30/1993,450.5,450.7,451.5,450.1,-0.04
08/09/2005,1231.4,1223.1,1234.1,1223.1,0.68
03/10/1998,1064.2,1052.3,1064.6,1052.3,1.13
12/06/2000,1351.5,1376.5,1376.5,1346.2,-1.82
06/21/2004,1130.3,1135.0,1138.0,1129.6,-0.41
01/29/2002,1100.6,1133.8,1137.5,1098.7,-2.87
11/18/1997,938.2,946.2,947.6,937.4,-0.85
10/09/2002,776.8,798.5,798.5,775.8,-2.72
01/06/2003,929.0,908.6,931.8,908.6,2.25
06/07/2000,1471.4,1457.8,1474.6,1455.2,0.93
07/21/1994,452.6,451.6,453.2,451.0,0.22
03/11/2002,1168.3,1164.0,1173.0,1159.6,0.34
08/31/2006,1303.8,1304.2,1306.1,1302.5,-0.04
01/23/2008,1338.6,1310.4,1339.1,1270.0,2.14
04/05/2006,1311.6,1305.9,1312.8,1304.8,0.44
10/13/2004,1113.7,1121.8,1127.0,1109.6,-0.72
11/07/2001,1115.8,1118.9,1126.6,1113.0,-0.28
06/13/2008,1360.0,1341.8,1360.0,1341.7,1.5
02/21/2003,848.2,837.1,852.3,831.5,1.33
08/26/1996,663.9,667.0,667.0,662.4,-0.46
02/28/1995,487.4,483.8,487.4,483.8,0.74
10/14/1992,409.4,409.3,411.5,407.9,0.02
12/30/2004,1213.5,1213.5,1216.5,1213.4,0.0
06/17/2002,1036.2,1007.3,1036.2,1007.3,2.87
01/29/1992,410.3,415.0,417.8,409.2,-1.13
09/26/1991,386.5,386.9,388.4,385.3,-0.1
06/26/2001,1216.8,1218.6,1220.7,1204.6,-0.15
05/11/1993,444.4,442.8,444.6,441.5,0.36
12/27/1990,328.3,330.9,331.0,328.2,-0.79
04/30/1993,440.2,438.9,442.3,438.9,0.3
07/17/2008,1260.3,1246.3,1262.3,1241.5,1.2
11/04/2008,1005.8,971.3,1007.5,971.3,4.09
12/02/2004,1190.3,1191.4,1194.8,1186.7,-0.09
01/11/2006,1294.2,1289.7,1294.9,1288.1,0.35
11/21/1995,600.2,596.9,600.3,595.4,0.55
11/06/1998,1141.0,1133.8,1141.3,1131.2,0.64
09/06/2005,1233.4,1218.0,1233.6,1218.0,1.26
11/02/2005,1214.8,1202.8,1215.2,1201.1,1.0
04/26/2006,1305.4,1301.7,1311.0,1301.7,0.28
03/11/1996,640.0,633.5,640.4,630.0,1.03
03/09/1990,337.9,340.3,340.3,336.8,-0.71
03/02/2009,700.8,729.6,729.6,699.7,-4.67
08/11/1997,937.0,933.5,938.5,925.4,0.37
01/24/1991,334.8,330.2,335.8,330.2,1.39
02/01/2000,1409.3,1394.5,1412.6,1384.8,1.06
03/27/1995,503.2,501.0,503.2,500.9,0.44
09/03/1993,461.3,461.3,462.1,459.9,0.0
05/22/2000,1400.7,1407.0,1410.3,1368.6,-0.45
10/27/2003,1031.1,1028.9,1037.8,1028.9,0.21
09/20/1999,1335.5,1335.4,1338.4,1330.6,0.01
04/06/1993,441.2,442.3,443.4,439.5,-0.25
08/15/2005,1233.9,1230.4,1236.2,1226.2,0.28
06/05/1998,1113.9,1094.8,1113.9,1084.3,1.74
10/01/1992,416.3,417.8,418.7,415.5,-0.36
06/04/2007,1539.2,1536.3,1540.5,1532.3,0.19
12/23/2002,897.4,895.7,902.4,892.3,0.18
05/24/2000,1399.0,1373.9,1401.4,1361.2,1.83
05/11/1992,418.5,416.1,418.8,416.1,0.58
02/10/2000,1416.8,1411.7,1422.0,1406.4,0.36
03/06/2003,822.1,829.9,829.9,819.9,-0.94
03/25/2002,1131.9,1149.3,1151.0,1131.9,-1.46
03/23/1995,495.9,495.7,496.8,494.2,0.04
03/31/2004,1126.2,1127.0,1130.8,1121.5,-0.07
08/03/1993,449.3,450.1,450.4,447.6,-0.18
10/17/1997,944.2,955.2,955.2,931.6,-1.15
09/12/2008,1251.7,1245.9,1255.1,1233.8,0.22
01/10/2006,1289.7,1290.2,1290.2,1283.8,-0.04
08/21/1991,390.6,379.6,390.6,379.4,2.95
08/15/1994,461.2,462.0,463.3,461.2,-0.15
08/02/1990,351.5,355.5,355.5,349.7,-1.13
12/13/2006,1413.2,1411.3,1416.6,1411.0,0.11
09/12/2002,886.9,909.5,909.5,884.8,-2.48
04/18/2000,1441.6,1401.4,1441.6,1397.6,2.87
08/19/2004,1091.2,1095.2,1095.2,1086.3,-0.37
04/10/1997,758.3,760.6,763.7,757.6,-0.3
05/08/2002,1088.8,1049.5,1088.9,1049.5,3.74
06/25/1999,1315.3,1315.8,1329.1,1312.6,-0.04
12/06/2006,1412.9,1414.4,1415.9,1411.0,-0.13
05/04/1999,1332.0,1354.6,1354.6,1330.6,-1.67
07/11/1991,377.0,375.7,377.7,375.5,0.35
09/19/2008,1255.1,1213.1,1265.1,1213.1,4.03
01/08/2004,1131.9,1126.3,1131.9,1124.9,0.5
10/08/2003,1033.8,1039.2,1040.1,1031.0,-0.52
01/14/2009,842.6,867.3,867.3,836.9,-3.35
03/01/1996,644.4,640.4,644.4,635.0,0.62
04/13/1999,1349.8,1358.6,1362.1,1344.2,-0.65
05/07/1990,340.5,338.4,341.1,338.1,0.62
